"","Pixel_frac","PotID","Inoculum_name","Harvest_time"
"1",0.133998449,11,"RI_VAM23","1/05/2021"
"2",0.165440262,12,"RI_VAM23","1/05/2021"
"3",0.146480111,13,"ScuCal","1/05/2021"
"4",0.170849273,14,"ScuCal","1/05/2021"
"5",0.147250743,23,"ScuCal","1/05/2021"
"6",0.163972321,24,"ScuCal","1/05/2021"
"7",0.196673357,25,"GigMar","1/05/2021"
"8",0.173142499,26,"GigMar","1/05/2021"
"9",0.098393677,35,"GigMar","1/05/2021"
"10",0.216571024,36,"GigMar","1/05/2021"
"11",0.164620529,38,"RI_DAOM10","1/05/2021"
"12",0.202443941,39,"RI_DAOM10","1/05/2021"
"13",0.176634593,45,"RI_DAOM10","1/05/2021"
"14",0.174614527,48,"RI_DAOM10","1/05/2021"
"15",0.209606316,5,"RI_VAM23","1/05/2021"
"16",0.149133951,56,"GloMos","1/05/2021"
"17",0.098182991,57,"GloMos","1/05/2021"
"18",0.100516638,58,"GloMos","1/05/2021"
"19",0.09065551,59,"GloMos","1/05/2021"
"20",0.15761994,6,"RI_VAM23","1/05/2021"
"21",0.176375259,61,"NonAMF","1/05/2021"
"22",0.159621132,65,"NonAMF","1/05/2021"
"23",0.149637882,68,"NonAMF","1/05/2021"
"24",0.209627763,72,"NonAMF","1/05/2021"
"25",0.247501437,11,"RI_VAM23","16/05/2021"
"26",0.253239775,12,"RI_VAM23","16/05/2021"
"27",0.373637932,13,"ScuCal","16/05/2021"
"28",0.291034372,14,"ScuCal","16/05/2021"
"29",0.395286743,23,"ScuCal","16/05/2021"
"30",0.344984697,24,"ScuCal","16/05/2021"
"31",0.330217178,25,"GigMar","16/05/2021"
"32",0.279416146,26,"GigMar","16/05/2021"
"33",0.358063244,35,"GigMar","16/05/2021"
"34",0.283162325,36,"GigMar","16/05/2021"
"35",0.28289522,38,"RI_DAOM10","16/05/2021"
"36",0.32239837,39,"RI_DAOM10","16/05/2021"
"37",0.351732109,45,"RI_DAOM10","16/05/2021"
"38",0.302809692,48,"RI_DAOM10","16/05/2021"
"39",0.235693316,5,"RI_VAM23","16/05/2021"
"40",0.260818375,56,"GloMos","16/05/2021"
"41",0.295744308,57,"GloMos","16/05/2021"
"42",0.210911107,58,"GloMos","16/05/2021"
"43",0.265225377,59,"GloMos","16/05/2021"
"44",0.283758605,6,"RI_VAM23","16/05/2021"
"45",0.305885763,61,"NonAMF","16/05/2021"
"46",0.292651333,65,"NonAMF","16/05/2021"
"47",0.335080019,68,"NonAMF","16/05/2021"
"48",0.369557229,72,"NonAMF","16/05/2021"
"49",0.47036035,11,"RI_VAM23","6/06/2021"
"50",0.406090383,12,"RI_VAM23","6/06/2021"
"51",0.426247283,13,"ScuCal","6/06/2021"
"52",0.363003396,14,"ScuCal","6/06/2021"
"53",0.486763098,23,"ScuCal","6/06/2021"
"54",0.418218344,24,"ScuCal","6/06/2021"
"55",0.324268911,25,"GigMar","6/06/2021"
"56",0.390279878,26,"GigMar","6/06/2021"
"57",0.368343979,35,"GigMar","6/06/2021"
"58",0.342130466,36,"GigMar","6/06/2021"
"59",0.363249862,38,"RI_DAOM10","6/06/2021"
"60",0.441630763,39,"RI_DAOM10","6/06/2021"
"61",0.411717246,45,"RI_DAOM10","6/06/2021"
"62",0.442748385,48,"RI_DAOM10","6/06/2021"
"63",0.391167031,5,"RI_VAM23","6/06/2021"
"64",0.411895484,56,"GloMos","6/06/2021"
"65",0.374136161,57,"GloMos","6/06/2021"
"66",0.360123075,58,"GloMos","6/06/2021"
"67",0.342222915,59,"GloMos","6/06/2021"
"68",0.466545692,6,"RI_VAM23","6/06/2021"
"69",0.397443464,61,"NonAMF","6/06/2021"
"70",0.502412522,65,"NonAMF","6/06/2021"
"71",0.321939755,68,"NonAMF","6/06/2021"
"72",0.434480197,72,"NonAMF","6/06/2021"
"73",0.397742008,11,"RI_VAM23","28/06/2021"
"74",0.322496774,12,"RI_VAM23","28/06/2021"
"75",0.304069066,13,"ScuCal","28/06/2021"
"76",0.274270253,14,"ScuCal","28/06/2021"
"77",0.428556304,23,"ScuCal","28/06/2021"
"78",0.331895048,24,"ScuCal","28/06/2021"
"79",0.321222009,25,"GigMar","28/06/2021"
"80",0.355414047,26,"GigMar","28/06/2021"
"81",0.327384242,35,"GigMar","28/06/2021"
"82",0.29081763,36,"GigMar","28/06/2021"
"83",0.27489444,38,"RI_DAOM10","28/06/2021"
"84",0.418703553,39,"RI_DAOM10","28/06/2021"
"85",0.472797094,45,"RI_DAOM10","28/06/2021"
"86",0.349990805,48,"RI_DAOM10","28/06/2021"
"87",0.371482523,5,"RI_VAM23","28/06/2021"
"88",0.290077629,56,"GloMos","28/06/2021"
"89",0.234196207,57,"GloMos","28/06/2021"
"90",0.291736879,58,"GloMos","28/06/2021"
"91",0.335997804,59,"GloMos","28/06/2021"
"92",0.409043927,6,"RI_VAM23","28/06/2021"
"93",0.290330655,61,"NonAMF","28/06/2021"
"94",0.433726369,65,"NonAMF","28/06/2021"
"95",0.327742434,68,"NonAMF","28/06/2021"
"96",0.297049706,72,"NonAMF","28/06/2021"
